Date,BTC-USD,NVDA,SPY,UUUU
2022-02-02,36952.984375,25.194604873657227,433.8945617675781,6.480000019073486
2022-02-03,37154.6015625,23.903032302856445,423.6958923339844,6.159999847412109
2022-02-04,41500.875,24.27333641052246,425.6882629394531,6.380000114440918
2022-02-05,41441.1640625,,,
2022-02-06,42412.43359375,,,
2022-02-07,43840.28515625,24.681568145751953,424.322021484375,6.510000228881836
2022-02-08,44118.4453125,25.060853958129883,427.8133239746094,6.610000133514404
2022-02-09,44338.796875,26.65485191345215,434.0748596191406,7.230000019073486
2022-02-10,43565.11328125,25.77550506591797,426.27642822265625,7.019999980926514
2022-02-11,42407.9375,23.90403175354004,417.8707580566406,6.809999942779541
2022-02-12,42244.46875,,,
2022-02-13,42197.515625,,,
2022-02-14,42586.91796875,24.22142791748047,416.504638671875,6.639999866485596
2022-02-15,44575.203125,26.44524574279785,423.2215881347656,6.920000076293945
2022-02-16,43961.859375,26.461217880249023,423.6958923339844,6.809999942779541
2022-02-17,40538.01171875,24.460983276367188,414.64508056640625,6.510000228881836
2022-02-18,40030.9765625,23.597606658935547,411.9603271484375,6.230000019073486
2022-02-19,40122.15625,,,
2022-02-20,38431.37890625,,,
2022-02-21,37075.28125,,,
2022-02-22,38286.02734375,23.34607696533203,407.5392150878906,6.230000019073486
2022-02-23,37296.5703125,22.34496307373047,400.3100891113281,6.429999828338623
2022-02-24,38332.609375,23.703407287597656,406.3343811035156,7.230000019073486
2022-02-25,39214.21875,24.111637115478516,415.2997741699219,7.519999980926514
2022-02-26,39105.1484375,,,
2022-02-27,37709.78515625,,,
2022-02-28,43193.234375,24.339210510253906,414.2372131347656,8.170000076293945
2022-03-01,44354.63671875,23.43291473388672,407.9283142089844,8.380000114440918
2022-03-02,43924.1171875,24.178638458251953,415.4326171875,8.829999923706055
2022-03-03,42451.7890625,23.67350196838379,413.3644104003906,8.84000015258789
2022-03-04,39137.60546875,22.896833419799805,410.0059509277344,8.1899995803833
2022-03-05,39400.5859375,,,
2022-03-06,38419.984375,,,
2022-03-07,38062.0390625,21.31553077697754,397.91937255859375,8.59000015258789
2022-03-08,38737.26953125,21.47726058959961,394.90240478515625,9.079999923706055
2022-03-09,41982.92578125,22.97469711303711,405.4900207519531,9.6899995803833
2022-03-10,39437.4609375,22.619306564331055,403.6590881347656,10.029999732971191
2022-03-11,38794.97265625,22.0622615814209,398.5264892578125,9.579999923706055
2022-03-12,38904.01171875,,,
2022-03-13,37849.6640625,,,
2022-03-14,39666.75390625,21.2935733795166,395.6139221191406,8.470000267028809
2022-03-15,39338.78515625,22.933767318725586,404.3136901855469,8.270000457763672
